94,87,90,69,52,79,73,88,59,80,85,98,97,82,86,100,80,102,76,67
-103,-95,-82,-118,-67,-74,-90,-45,-90,-64,-82,-97,-93,-88,-101,-86,-63,-86,-94,-53
92,33,-75,43,-3,-68,-89,27,-61,-37,-72,84,86,46,-47,-83,97,-13,-109,-55
89,28,69,41,-77,75,72,52,-74,-37,47,-93,-101,84,-26,-74,74,-88,-112,-59
93,34,79,69,27,77,69,87,60,82,58,98,97,70,79,97,101,97,84,81
93,88,-68,69,54,77,69,87,60,81,85,98,97,71,80,97,101,97,81,67
92,40,-72,-73,-70,-73,-87,85,-100,0,-71,89,-43,65,41,-16,-73,-84,-95,-73
70,11,-74,-74,-62,-83,-26,-55,-30,-51,-70,-26,-92,-52,-102,-15,-39,-68,-32,-75
45,-96,-82,-73,-79,-52,71,-48,-90,-61,-78,-91,-68,-87,-101,-73,68,-84,-93,-72
68,-68,-85,-79,-60,23,-83,-53,-68,76,-91,-96,-93,59,-77,-54,-73,7,-83,-55
93,28,73,69,27,81,67,86,43,81,47,98,93,71,80,-58,97,80,33,77
93,57,79,69,66,77,68,87,60,82,58,75,97,70,79,97,23,97,33,81
93,87,91,64,90,76,73,88,-7,80,85,98,97,80,86,100,98,53,76,66
67,-68,51,-79,-66,-56,-79,-48,-93,-41,-86,-96,69,45,-89,-95,27,78,-96,-51
68,-68,-85,-80,-68,-53,-83,-53,-77,-48,-93,-96,-93,-59,-90,-57,-73,-80,-96,-55
-78,-84,-83,-101,-66,53,81,-47,-103,-75,-75,-96,-70,78,-101,-86,-73,6,-102,-72
92,34,-72,-50,-70,81,-87,85,-100,-41,-71,89,-43,61,40,-16,-73,-84,74,-73
46,-59,-82,-79,-76,-64,-89,29,53,-32,-62,-94,-96,71,-100,79,-49,-55,-77,70
71,-69,-80,-77,-2,-64,-90,-49,-77,-66,78,-94,-73,-59,-99,100,-63,-1,95,67
93,85,37,67,97,76,59,35,49,57,83,1,97,80,61,-68,50,84,-61,-101
94,31,-91,65,14,77,70,-36,67,-44,57,-87,-63,71,86,98,66,-94,49,85
75,-60,-64,-100,-78,-54,-25,-55,-96,85,-64,-99,-26,-77,86,100,-64,-57,-86,-82
55,90,52,68,-18,49,-28,-59,-77,78,59,-43,-40,96,82,60,69,30,-89,-53
93,78,67,69,52,79,69,88,59,79,85,98,97,71,86,100,102,101,76,67
58,-89,72,59,-68,72,-39,-46,39,-50,-58,-75,-94,87,-100,-78,78,-80,-91,-61
74,86,88,71,81,77,86,87,76,78,65,-9,47,72,-26,97,84,0,36,64
99,60,66,-78,-60,76,-83,99,-68,76,-91,-96,-93,59,-66,-54,-73,97,-83,-55
46,-66,-86,-79,-80,-64,-89,29,53,-32,-68,-94,-96,-60,-100,79,-51,-55,-76,70
45,-96,-82,-73,-79,-73,-87,-48,-90,-61,-83,-91,-68,-93,-101,-86,-73,-84,-93,-72
91,7,-97,69,81,76,68,87,60,81,48,98,-66,82,80,-58,-10,80,-87,99
89,5,70,69,81,75,68,87,43,77,48,-41,-64,96,80,-58,42,3,72,82
94,98,62,67,93,72,67,77,73,82,84,13,97,72,85,53,1,101,37,80
91,24,52,65,-68,-74,50,-40,-65,-41,57,89,-72,70,48,-79,70,-83,89,-71
73,-84,-85,-94,-68,-65,51,-47,-96,-42,-86,-96,-94,-87,-100,-85,-71,-81,-92,-52
92,-98,-80,30,-58,-70,-98,-54,-79,-32,-81,85,-74,-88,-100,-83,-61,-3,-95,-52
55,31,-74,69,13,33,41,86,67,92,71,92,94,86,68,83,42,-88,-90,-55
96,28,34,100,80,-54,-91,74,-91,41,10,1,-10,-84,69,97,75,86,23,61
80,-95,-84,-74,-68,85,-90,-47,-94,-45,-86,-96,-94,-90,-101,-84,-61,-85,-94,-53
75,-107,-57,86,-75,78,86,78,76,78,65,99,47,72,87,96,72,0,-84,46
92,-98,-79,31,-55,21,-98,-50,-79,-32,47,95,-74,-73,-78,83,-61,-78,-95,-52
55,96,52,-52,10,74,1,39,-75,-23,-33,-79,-65,-15,-25,-52,97,-80,91,65
93,57,32,69,67,17,68,84,72,64,79,89,-61,72,85,98,0,72,-93,89
55,90,55,68,-21,51,-28,75,-92,78,6,3,-10,96,82,50,75,30,32,-53
92,33,72,67,-77,83,1,53,-60,-43,47,-93,88,84,85,-75,75,-82,-91,-59
68,-68,-96,-80,-68,-64,-83,-53,47,-47,-54,-96,-88,-59,-90,-57,-51,-80,-96,-55
35,33,-75,45,-20,22,-90,31,-46,-35,55,95,86,61,-26,83,97,-2,32,-55
58,-89,82,51,-63,72,-92,-48,39,-10,-80,-86,-102,87,-108,72,74,36,69,5
92,34,72,-52,0,74,1,40,-74,-38,56,95,-57,84,-25,-52,97,-80,91,65
61,-94,-84,-74,-68,-71,-93,-52,-87,-39,-92,-96,-76,-78,-100,-84,-70,-86,-93,-53
92,33,72,41,-77,83,1,53,-74,-37,47,-93,88,84,-26,-75,76,-88,-91,-59
61,-95,-84,-74,-67,-75,-90,-48,-94,-39,-86,-97,-94,-90,-100,-84,-63,-86,-93,-53
35,-96,-82,61,-66,78,-37,-102,-97,-64,-74,-96,-94,-93,-99,-77,-92,-79,-94,-72
35,41,52,68,-18,51,74,-59,35,78,59,-43,44,96,82,74,58,1,41,83
-78,-84,-83,-101,-66,-57,-87,-47,-103,-59,-75,-96,-70,-93,-101,-86,-73,-85,-102,-72
76,-68,66,-78,-66,-56,-82,-48,-92,-41,-86,-96,69,-78,-89,-95,27,-86,-95,-51
93,5,72,69,81,76,68,87,43,81,48,98,-64,83,80,-58,-20,80,84,77
92,73,-104,82,-1,23,-90,92,-61,-38,55,95,97,61,-43,83,97,-89,104,-55
-87,32,-69,82,81,77,-75,-36,-12,-51,86,-86,-91,108,-85,-96,-60,-94,48,-64
-78,-84,-83,-77,-66,-57,-87,-47,-97,-64,-75,-96,-70,-93,-101,-86,-73,-85,-94,-72
55,90,52,68,-18,49,-28,-59,-81,78,59,-43,-40,96,82,61,69,5,-89,-52
-71,-94,-81,-77,-66,-57,-24,-52,-94,-58,-85,-96,-102,-41,-25,-100,-73,-84,-95,-20
56,-96,-70,-100,-69,-54,-90,-57,-96,-63,17,-97,-83,-88,-102,-87,-63,-86,-96,-53
58,-81,-23,60,-66,44,69,77,42,-24,84,13,98,75,96,53,62,35,-91,92
80,53,53,76,-66,-54,-26,-52,30,82,61,-95,-104,-41,-16,-100,-67,-81,-95,-8
93,34,-46,72,27,76,56,29,60,82,35,98,97,69,79,90,100,97,87,77
93,5,72,36,81,-78,68,87,60,81,39,89,-73,82,82,-16,-10,103,84,66
33,-79,-56,-96,49,60,-87,-44,-71,-21,-86,-97,-85,76,63,-86,-66,27,-102,75
95,-79,-82,-96,-66,-57,96,78,-103,26,-75,-109,-70,74,55,-86,-73,66,41,-69
-103,-101,-82,-118,-67,-74,-87,-45,-13,-52,-82,-97,-92,-88,-94,-87,-63,-86,-94,-53
71,27,-62,-78,52,23,86,88,-69,78,65,98,-59,72,92,83,74,0,37,-105
83,32,88,72,34,82,74,88,30,78,57,-40,90,72,96,98,57,-95,44,88
92,-80,-91,74,53,54,-91,86,38,-73,83,98,-85,-61,49,90,-4,88,-103,74
92,33,-75,45,-1,23,-90,31,-61,-38,56,95,86,61,-26,83,97,-89,-33,-55
92,34,71,64,1,-41,1,40,70,-38,56,82,-31,84,-25,-52,97,-80,91,95
